epoch,loss(MSE),lr,time,tr_E(MAE),tr_F(MAE),val_E(MAE),val_F(MAE),irc_E(MAE),irc_F(MAE),test_E(MAE),test_F(MAE)
1.00000,221.25961,0.00100,157.16918,2.69928,3.88708,1.40233,2.01577,0.72521,0.67699,2.02290,3.77323
2.00000,306.28580,0.00100,145.66316,2.83391,4.07253,1.85043,1.98046,1.27071,0.69520,2.43842,3.63600
3.00000,542.73759,0.00100,117.51298,2.95929,4.14908,1.70290,2.01073,1.27071,0.69520,2.43842,3.63600
4.00000,1819.00588,0.00100,117.51517,2.91564,4.19181,1.87891,2.08046,1.27071,0.69520,2.43842,3.63600
5.00000,450.63546,0.00100,145.40118,3.07581,4.09642,1.44521,1.78887,0.74448,0.65987,2.02858,3.45959
6.00000,276.09703,0.00100,116.08811,2.78880,3.95671,1.72665,1.84324,0.74448,0.65987,2.02858,3.45959
7.00000,212.40757,0.00100,116.46728,2.97270,4.12042,1.50070,1.84697,0.74448,0.65987,2.02858,3.45959
8.00000,449.34171,0.00100,116.69987,2.97507,4.18610,1.51493,1.99219,0.74448,0.65987,2.02858,3.45959
9.00000,272.71338,0.00100,116.49439,2.86300,3.98001,1.66911,1.92315,0.74448,0.65987,2.02858,3.45959
10.00000,323.36211,0.00100,116.88852,2.85156,3.83700,1.91900,1.91949,0.74448,0.65987,2.02858,3.45959
11.00000,258.31528,0.00100,116.64592,2.83071,4.02018,2.44644,1.97281,0.74448,0.65987,2.02858,3.45959
12.00000,308.72950,0.00100,116.49990,2.87789,4.01530,1.58924,1.90627,0.74448,0.65987,2.02858,3.45959
13.00000,3842.28106,0.00100,116.88763,2.82496,4.02321,1.43336,1.95614,0.74448,0.65987,2.02858,3.45959
14.00000,264.70836,0.00100,116.99170,2.93635,4.11696,1.80569,1.86460,0.74448,0.65987,2.02858,3.45959
15.00000,172.39448,0.00100,116.91939,2.88938,3.90812,1.46215,2.00699,0.74448,0.65987,2.02858,3.45959
16.00000,487.66330,0.00100,116.78306,2.96740,3.96884,1.70990,1.87654,0.74448,0.65987,2.02858,3.45959
17.00000,174.43872,0.00100,117.44360,2.87972,4.00563,1.40639,1.81918,0.74448,0.65987,2.02858,3.45959
18.00000,659.76438,0.00100,117.30526,2.87072,4.03891,1.67921,1.97325,0.74448,0.65987,2.02858,3.45959
19.00000,284.95953,0.00100,116.93783,3.02927,4.09802,1.96796,2.10454,0.74448,0.65987,2.02858,3.45959
20.00000,746.42272,0.00100,117.35497,2.99433,3.99806,1.65620,1.88950,0.74448,0.65987,2.02858,3.45959
21.00000,586.58939,0.00100,117.62998,2.88278,4.25391,1.49710,1.97732,0.74448,0.65987,2.02858,3.45959
22.00000,389.76306,0.00100,117.22410,2.99026,4.29678,1.97155,2.14398,0.74448,0.65987,2.02858,3.45959
23.00000,254.11851,0.00100,117.65341,2.93958,3.95663,1.76936,1.86429,0.74448,0.65987,2.02858,3.45959
24.00000,1334.15655,0.00100,117.63048,2.93703,4.00120,2.08145,1.85738,0.74448,0.65987,2.02858,3.45959
25.00000,465.00683,0.00100,117.26294,2.97505,4.19816,1.42186,1.93028,0.74448,0.65987,2.02858,3.45959
26.00000,202.01152,0.00100,117.64385,2.86177,3.95896,1.68494,2.13403,0.74448,0.65987,2.02858,3.45959
27.00000,898.93277,0.00100,117.69655,3.15484,4.38039,2.17274,1.99148,0.74448,0.65987,2.02858,3.45959
28.00000,1035.76013,0.00100,118.07855,2.82936,5.95342,1.41845,1.81199,0.74448,0.65987,2.02858,3.45959
29.00000,747.23808,0.00100,117.31942,2.86762,4.44697,1.64663,1.96069,0.74448,0.65987,2.02858,3.45959
30.00000,597.32130,0.00100,117.02699,2.93059,4.09232,1.34490,1.99652,0.74448,0.65987,2.02858,3.45959
31.00000,286.42672,0.00100,117.64709,2.93872,4.24058,1.91560,1.95103,0.74448,0.65987,2.02858,3.45959
32.00000,1271.09619,0.00100,117.55600,2.90860,4.00361,1.86129,1.84063,0.74448,0.65987,2.02858,3.45959
33.00000,665.06531,0.00100,117.32594,3.22251,5.04549,1.66576,1.96214,0.74448,0.65987,2.02858,3.45959
34.00000,993.46312,0.00100,118.70618,2.94597,3.76210,1.53043,2.06486,0.74448,0.65987,2.02858,3.45959
35.00000,176.35601,0.00100,117.22565,2.64587,3.47102,1.51251,1.84462,0.74448,0.65987,2.02858,3.45959
36.00000,680.44129,0.00100,117.38568,2.88048,4.12181,2.22759,1.88601,0.74448,0.65987,2.02858,3.45959
37.00000,251.71564,0.00100,116.98016,2.85662,4.02651,2.07875,1.87507,0.74448,0.65987,2.02858,3.45959
38.00000,737.37320,0.00100,116.99319,2.85605,4.15368,1.46279,1.97773,0.74448,0.65987,2.02858,3.45959
39.00000,274.30436,0.00070,118.03327,3.18674,4.79009,1.31714,2.08650,0.74448,0.65987,2.02858,3.45959
40.00000,463.76920,0.00070,145.49685,2.50611,3.05775,2.22077,1.73028,1.64501,0.57221,2.75912,3.78853
41.00000,154.65117,0.00070,116.94275,2.65760,3.96202,1.37330,1.97211,1.64501,0.57221,2.75912,3.78853
42.00000,231.07240,0.00070,117.13775,2.71215,4.04117,1.50372,1.88162,1.64501,0.57221,2.75912,3.78853
43.00000,173.95554,0.00070,117.12923,2.87172,4.16585,1.20856,1.83485,1.64501,0.57221,2.75912,3.78853
44.00000,668.56788,0.00070,117.22320,2.50312,3.46217,1.32094,1.83999,1.64501,0.57221,2.75912,3.78853
45.00000,117.94299,0.00070,116.89399,2.72365,3.91956,1.48505,1.88675,1.64501,0.57221,2.75912,3.78853
